word,word_count,cluster,distance_to_cluster_centroid,pca_x,pca_y
"












































    






























































































  
   ",1,-1,0.0,-1.5349303483963013,0.8428288102149963
workers,1,0,5.364680767059326,1.7928093671798706,-2.0183956623077393
"
 ",1,-1,0.0,-1.5349303483963013,0.8428287506103516
weeks5VideoBBC,1,-1,0.0,-1.5349303483963013,0.8428287506103516
weekday,1,1,6.211091995239258,1.1371930837631226,1.1146509647369385
weddingWhy,1,-1,0.0,-1.5349303483963013,0.8428287506103516
we?Why,1,-1,0.0,-1.5349303483963013,0.8428287506103516
" 




",1,-1,0.0,-1.5349303483963013,0.8428287506103516
All'I,1,-1,0.0,-1.5349303483963013,0.8428287506103516
AllHow,1,-1,0.0,-1.5349303483963013,0.8428287506103516
AllLive2017,1,-1,0.0,-1.5349303483963013,0.8428287506103516
textWomen,1,-1,0.0,-1.5349303483963013,0.8428287506103516
Channel,1,1,6.48438835144043,-0.041288893669843674,-0.13830195367336273
son3The,1,-1,0.0,-1.5349303483963013,0.8428287506103516
smoking,1,1,6.363994598388672,0.6361419558525085,-0.8484154939651489
skinned,1,1,6.858333587646484,-0.7345913648605347,0.2671813666820526
sites,1,1,6.137732028961182,0.5658542513847351,-1.1954644918441772
signing,1,1,5.598370552062988,0.28802308440208435,-0.5963943600654602
ChannelThe,1,-1,0.0,-1.5349303483963013,0.8428287506103516
Chazelle,1,-1,0.0,-1.5349303483963013,0.8428287506103516
CommentsUS,1,-1,0.0,-1.5349303483963013,0.8428287506103516
setting,1,1,4.736208438873291,1.048879623413086,-0.7077583074569702
